date,rank,code,name,close,change_pct,value_traded
2026-06-19,13,8306,三菱ＵＦＪ,3278.0,-2.85,175800000000
2026-06-19,14,8316,三井住友ＦＧ,6482.0,-3.66,131000000000
2026-06-19,15,8411,みずほＦＧ,7884.0,-4.42,117300000000
2026-06-19,16,9983,ファストリ,83100.0,-1.19,104400000000
2026-06-19,17,5706,三井金属,48820.0,1.5,104300000000
2026-06-19,18,6723,ルネサス,4734.0,4.04,101600000000
2026-06-19,19,6758,ソニーＧ,3140.0,-3.38,94400000000
2026-06-19,20,7011,三菱重,3917.0,-1.29,93000000000
2026-06-19,21,6501,日立,4764.0,-0.75,88400000000
2026-06-19,22,8058,三菱商,4540.0,-0.66,85200000000
2026-06-19,23,7203,トヨタ,2776.0,-0.61,79800000000
2026-06-19,24,5801,古河電,53360.0,15.1,77600000000
2026-06-19,25,6861,キーエンス,77700.0,0.23,75900000000
2026-06-19,26,6752,パナＨＤ,4419.0,2.65,72900000000
2026-06-19,27,4004,レゾナック,18390.0,-0.16,72500000000
2026-06-19,28,6525,コクサイエレ,10165.0,5.02,71800000000
2026-06-19,29,6762,ＴＤＫ,3909.0,1.4,70700000000
2026-06-19,30,7735,スクリン,16745.0,1.95,63300000000
2026-06-19,31,8766,東京海上,7194.0,-1.77,62400000000
2026-06-19,32,4063,信越化,7310.0,-2.0,60700000000
2026-06-19,33,8031,三井物,4716.0,-0.06,58300000000
2026-06-19,34,9432,ＮＴＴ,144.0,-2.37,58000000000
2026-06-19,35,2802,味の素,5790.0,0.05,55400000000
2026-06-19,36,7974,任天堂,7076.0,-1.26,51200000000
2026-06-19,37,6098,リクルート,10865.0,-2.69,50500000000
2026-06-19,38,6526,ソシオネクス,2630.0,1.0,49700000000
2026-06-19,39,6701,ＮＥＣ,3756.0,-5.46,49200000000
2026-06-19,40,7013,ＩＨＩ,2817.0,-1.71,46500000000
2026-06-19,41,6954,ファナック,7473.0,-1.62,44800000000
2026-06-19,42,3110,日東紡,19500.0,1.62,44600000000
2026-06-19,43,3436,ＳＵＭＣＯ,4254.0,-1.53,44600000000
2026-06-19,44,6971,京セラ,3680.0,-0.3,44500000000
2026-06-19,45,6702,富士通,3211.0,-3.95,42900000000
2026-06-19,46,6963,ローム,5509.0,5.94,42800000000
2026-06-19,47,8591,オリックス,6325.0,-2.12,40500000000
2026-06-19,48,9433,ＫＤＤＩ,2722.0,0.22,40500000000
2026-06-19,49,6503,三菱電,6051.0,-0.08,40000000000
2026-06-19,50,6273,ＳＭＣ,72840.0,0.33,39900000000
2026-06-22,1,285A,キオクシア,109500.0,0.83,2551700000000
2026-06-22,2,6976,太陽誘電,17555.0,-9.11,384500000000
2026-06-22,3,1570,日経レバ,85420.0,3.34,357100000000
2026-06-22,4,5801,古河電,57770.0,8.26,342300000000
2026-06-22,5,6981,村田製,12225.0,4.04,318200000000
2026-06-22,6,5016,ＪＸ金属,5346.0,12.62,316600000000
2026-06-22,7,9984,ＳＢＧ,7244.0,1.87,315400000000
